Timestamp PowerL,PowerR, Heading,Distance,DriveSpeed,TurnSpeed,FrontRange,StageNumber,StageDistance,TargetScore,TargetX,TargetY,
1516109791415,0.005208333333333334,0.010416666666666666,-0.0026312500000000003,0.0,0.0,0.125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791444,0.005208333333333334,0.010416666666666666,-9.812500000000001E-4,0.0,0.0,0.0,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791456,0.005208333333333334,0.010416666666666666,-5.9375E-4,0.0,0.0,-0.275,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791486,0.005208333333333334,0.010416666666666666,-0.0023562500000000003,0.0,0.0,0.1,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791504,0.005208333333333334,0.010416666666666666,-0.00153125,0.0,0.0,0.05,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791523,0.005208333333333334,0.010416666666666666,-4.2500000000000003E-4,0.0,0.0,0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791541,0.005208333333333334,0.010416666666666666,3.5625E-4,0.0,0.0,0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791569,0.005208333333333334,0.010416666666666666,-6.062500000000001E-4,0.0,0.0,-0.1,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791580,0.005208333333333334,0.010416666666666666,-1.5625E-4,0.0,0.0,0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791595,0.005208333333333334,0.010416666666666666,-0.0024937500000000003,0.0,0.0,0.025,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791615,0.005208333333333334,0.010416666666666666,-0.00445625,0.0,0.0,-0.23750000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791635,0.005208333333333334,0.010416666666666666,-0.005743750000000001,0.0,0.0,-0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791658,0.005208333333333334,0.010416666666666666,-0.007381250000000001,0.0,0.0,0.1375,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791677,0.005208333333333334,0.010416666666666666,-0.0082375,0.0,0.0,0.42500000000000004,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791699,0.005208333333333334,0.010416666666666666,-0.00565625,0.0,0.0,-0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791715,0.005208333333333334,0.010416666666666666,-0.007612500000000001,0.0,0.0,0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791735,0.005208333333333334,0.010416666666666666,-0.006975,0.0,0.0,-0.025,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791755,0.005208333333333334,0.010416666666666666,-0.006743750000000001,0.0,0.0,-0.15000000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791774,0.005208333333333334,0.010416666666666666,-0.00578125,0.0,0.0,0.025,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791795,0.005208333333333334,0.010416666666666666,-0.00735625,0.0,0.0,0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791814,0.005208333333333334,0.010416666666666666,-0.0086625,0.0,0.0,-0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791835,0.005208333333333334,0.010416666666666666,-0.01010625,0.0,0.0,-0.1125,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791864,0.005208333333333334,0.010416666666666666,-0.008462500000000001,0.0,0.0,0.21250000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791880,0.005208333333333334,0.010416666666666666,-0.0077375000000000005,0.0,0.0,0.1875,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791896,0.005208333333333334,0.010416666666666666,-0.007475000000000001,0.0,0.0,-0.037500000000000006,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791915,0.005208333333333334,0.010416666666666666,-0.007206250000000001,0.0,0.0,-0.07500000000000001,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791935,0.005208333333333334,0.010416666666666666,-0.006900000000000001,0.0,0.0,-0.1,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791964,0.005208333333333334,0.010416666666666666,-0.005056250000000001,0.0,0.0,-0.1625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109791975,0.005208333333333334,0.010416666666666666,-0.004537500000000001,0.0,0.0,0.0625,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792003,0.005208333333333334,0.010416666666666666,-0.0060625,0.0,0.0,-0.21250000000000002,0.0,0,0.0,0.0,-320.0,-200.0,
1516109792014,0.005208333333333334,0.010416666666666666,-0.00606875,0.0,0.0,-0.05,0.0,0,0.0,0.0,-320.0,-200.0,
